epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,100633,0.23372,0.32876,0.1319,0.80548,0,0.99868,0.9999,0.99481,0.98483,0.99866,0.99988,0.99481,0.95876,0.17795,0.29058,0.09249,0.78438,0,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,103782,0.23351,0.32816,0.1312,0.80637,0,0.99868,0.99991,0.99482,0.98473,0.99866,0.99989,0.99482,0.9586,0.17767,0.29019,0.09262,0.78434,0,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,106952,0.23318,0.32741,0.13162,0.80572,0,0.99868,0.99991,0.99481,0.98475,0.99866,0.99989,0.99481,0.95941,0.17752,0.28972,0.09239,0.78425,0,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,110121,0.23308,0.32702,0.13168,0.80621,0,0.99868,0.99991,0.9948,0.98482,0.99866,0.99989,0.99479,0.95958,0.1772,0.28925,0.09183,0.78422,0,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,113253,0.23299,0.32705,0.13116,0.80613,0,0.99868,0.99991,0.99479,0.98482,0.99866,0.99989,0.99479,0.95963,0.17703,0.28877,0.09196,0.78423,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,116370,0.2327,0.32676,0.13104,0.80511,0,0.99868,0.99991,0.99481,0.9848,0.99866,0.99989,0.99481,0.95973,0.17692,0.28833,0.09183,0.78415,0,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,119533,0.23278,0.3259,0.13042,0.80522,0,0.99868,0.99991,0.9948,0.98484,0.99866,0.99989,0.9948,0.95971,0.17676,0.28785,0.09147,0.78407,0,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,122709,0.23233,0.32623,0.13027,0.80475,0,0.99868,0.99991,0.9948,0.98478,0.99866,0.99989,0.9948,0.95973,0.17665,0.28744,0.09117,0.78401,0,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,125865,0.23305,0.32712,0.13095,0.80525,0,0.99868,0.99991,0.9948,0.9848,0.99866,0.99989,0.99479,0.95955,0.17645,0.28696,0.09088,0.78394,0,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,128970,0.23278,0.32633,0.13051,0.80531,0,0.99869,0.99992,0.99479,0.98475,0.99866,0.9999,0.99479,0.95962,0.17635,0.28662,0.09077,0.78394,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,132052,0.23238,0.32611,0.13026,0.80502,0,0.99869,0.99992,0.9948,0.98473,0.99866,0.9999,0.99479,0.95961,0.17631,0.28627,0.09067,0.78387,0,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,135186,0.23246,0.32548,0.13051,0.80549,0,0.99868,0.99992,0.99478,0.98472,0.99866,0.9999,0.99477,0.95988,0.17617,0.28595,0.09024,0.78382,0,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,138363,0.2323,0.32587,0.12994,0.80548,0,0.99868,0.99992,0.99477,0.98481,0.99866,0.9999,0.99477,0.95976,0.17601,0.28561,0.08996,0.78378,0,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,141515,0.23235,0.32594,0.13033,0.8045,0,0.99868,0.99992,0.99479,0.98479,0.99866,0.9999,0.99478,0.95996,0.17585,0.28526,0.08991,0.78372,0,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,144668,0.23158,0.32487,0.12975,0.80523,0,0.99868,0.99992,0.99478,0.98474,0.99866,0.9999,0.99478,0.95996,0.17565,0.28498,0.08988,0.78367,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,147793,0.23152,0.32496,0.13006,0.80542,0,0.99868,0.99992,0.99478,0.9848,0.99866,0.9999,0.99477,0.96016,0.17554,0.28469,0.08947,0.78366,0,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,150927,0.23181,0.32522,0.13014,0.80582,0,0.99868,0.99992,0.99477,0.98471,0.99866,0.9999,0.99477,0.96002,0.17552,0.28454,0.08927,0.78365,0,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,154044,0.23153,0.32476,0.12987,0.80506,0,0.99868,0.99992,0.99476,0.98472,0.99866,0.9999,0.99476,0.95996,0.17553,0.28429,0.08909,0.78363,0,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,157156,0.23128,0.32378,0.12996,0.80442,0,0.99868,0.99992,0.99475,0.98476,0.99866,0.9999,0.99475,0.96009,0.17539,0.28397,0.08897,0.78357,0,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,160274,0.23133,0.32433,0.12949,0.80501,0,0.99868,0.99992,0.99476,0.98474,0.99866,0.9999,0.99476,0.96006,0.17529,0.2837,0.08874,0.78354,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,163360,0.23122,0.32451,0.12891,0.80525,0,0.99868,0.99992,0.99475,0.98473,0.99866,0.9999,0.99475,0.96018,0.17517,0.28342,0.08873,0.78352,0,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,166519,0.23129,0.32364,0.12926,0.80478,0,0.99868,0.99992,0.99475,0.9847,0.99866,0.9999,0.99475,0.96014,0.1752,0.28321,0.08853,0.78348,0,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,169750,0.23161,0.32399,0.12984,0.80468,0,0.99868,0.99992,0.99475,0.98469,0.99866,0.9999,0.99475,0.96018,0.17526,0.28295,0.08873,0.78345,0,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,172777,0.23135,0.32399,0.12952,0.80541,0,0.99867,0.99992,0.99475,0.98475,0.99865,0.9999,0.99475,0.9609,0.17521,0.28274,0.08841,0.78339,0,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,175747,0.23064,0.32268,0.12901,0.80509,0,0.99867,0.99992,0.99476,0.98478,0.99865,0.9999,0.99475,0.96097,0.17514,0.28248,0.08834,0.78336,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,178716,0.23094,0.32347,0.12875,0.80451,0,0.99867,0.99992,0.99475,0.98482,0.99865,0.9999,0.99475,0.96087,0.17501,0.28225,0.08809,0.78333,0,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,182541,0.23069,0.32354,0.1288,0.80469,0,0.99867,0.99992,0.99475,0.9848,0.99865,0.9999,0.99475,0.96098,0.17496,0.28212,0.08796,0.78328,0,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,185544,0.23097,0.32326,0.12878,0.80482,0,0.99867,0.99992,0.99475,0.98468,0.99865,0.9999,0.99475,0.96099,0.17498,0.282,0.08787,0.78328,0,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,188508,0.23092,0.32246,0.13013,0.80462,0,0.99868,0.99992,0.99475,0.98482,0.99866,0.9999,0.99474,0.96108,0.17484,0.28176,0.08785,0.78323,0,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,191478,0.23069,0.32284,0.12899,0.80447,0,0.99868,0.99992,0.99475,0.98473,0.99866,0.9999,0.99475,0.96099,0.17479,0.28155,0.08777,0.78319,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,194459,0.23048,0.32294,0.12891,0.80463,0,0.99868,0.99992,0.99475,0.9848,0.99866,0.9999,0.99475,0.96108,0.1747,0.28127,0.08773,0.78315,0,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,197442,0.2298,0.32256,0.12832,0.80374,0,0.99868,0.99992,0.99475,0.98489,0.99866,0.9999,0.99475,0.96099,0.17462,0.28119,0.0875,0.78309,0,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
